tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
373,20:34.7,26:48.6,3186,Grove St PATH,40.71958612,-74.04311746,3638,Washington St,40.7242941,-74.0354826,39147,Customer,1969,0
510,20:40.9,29:11.3,3276,Marin Light Rail,40.71458404,-74.04281706,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,39533,Subscriber,1968,2
1234,23:21.1,43:56.0,3483,Montgomery St,40.71942,-74.05099,3483,Montgomery St,40.71942,-74.05099,46395,Subscriber,1972,2
1283,23:30.9,44:54.6,3280,Astor Place,40.7192822,-74.07126188,3210,Pershing Field,40.74267714,-74.05178863,42496,Subscriber,1953,2
526,24:19.8,33:05.8,3280,Astor Place,40.7192822,-74.07126188,3640,Journal Square,40.73367,-74.0625,41618,Subscriber,1976,1
709,24:41.3,36:30.7,3268,Lafayette Park,40.71346383,-74.06285852,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,45683,Subscriber,1980,1
1069,31:26.1,49:16.0,3206,Hilltop,40.7311689,-74.0575736,3191,Union St,40.7182113,-74.0836394,43558,Subscriber,1968,1
383,35:03.8,41:27.2,3186,Grove St PATH,40.71958612,-74.04311746,3681,Grand St,40.71517768,-74.03768331,48911,Subscriber,1978,1
363,36:03.3,42:06.5,3212,Christ Hospital,40.73478582,-74.05044364,3210,Pershing Field,40.74267714,-74.05178863,45150,Subscriber,1950,1
519,36:13.3,44:52.3,3210,Pershing Field,40.74267714,-74.05178863,3220,5 Corners Library,40.73496102,-74.05950308,15687,Subscriber,1994,1
225,37:39.3,41:25.2,3273,Manila & 1st,40.72165072,-74.04288411,3203,Hamilton Park,40.72759597,-74.04424731,42354,Customer,1969,0
242,40:04.9,44:07.2,3681,Grand St,40.71517768,-74.03768331,3213,Van Vorst Park,40.71848892,-74.04772663,42596,Subscriber,1979,1
600,41:08.6,51:09.1,3267,Morris Canal,40.71241882,-74.03852552,3186,Grove St PATH,40.71958612,-74.04311746,44703,Subscriber,1987,1
487,43:30.3,51:37.5,3481,York St,40.71649,-74.04105,3199,Newport Pkwy,40.7287448,-74.0321082,45340,Subscriber,1989,1
702,47:53.9,59:36.3,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3638,Washington St,40.7242941,-74.0354826,42379,Customer,1969,0
201,48:19.8,51:41.5,3186,Grove St PATH,40.71958612,-74.04311746,3481,York St,40.71649,-74.04105,47256,Subscriber,1980,2
800,49:28.8,02:49.7,3186,Grove St PATH,40.71958612,-74.04311746,3192,Liberty Light Rail,40.7112423,-74.0557013,45256,Subscriber,1992,1
738,50:55.3,03:13.6,3186,Grove St PATH,40.71958612,-74.04311746,3192,Liberty Light Rail,40.7112423,-74.0557013,42838,Subscriber,1992,2
580,52:04.2,01:45.0,3280,Astor Place,40.7192822,-74.07126188,3483,Montgomery St,40.71942,-74.05099,48742,Subscriber,1960,1
429,52:20.8,59:29.9,3275,Columbus Drive,40.7183552,-74.03891444,3202,Newport PATH,40.7272235,-74.0337589,48740,Subscriber,1980,1
745,52:38.0,05:03.7,3678,Fairmount Ave,40.72572614,-74.07195926,3206,Hilltop,40.7311689,-74.0575736,42580,Subscriber,1981,1
124,54:20.7,56:25.1,3194,McGinley Square,40.72533993,-74.06762213,3225,Baldwin at Montgomery,40.7236589,-74.0641943,44787,Subscriber,1987,2
598,57:26.9,07:25.8,3273,Manila & 1st,40.72165072,-74.04288411,3273,Manila & 1st,40.72165072,-74.04288411,42342,Subscriber,1986,1
103,59:05.9,00:49.6,3267,Morris Canal,40.71241882,-74.03852552,3681,Grand St,40.71517768,-74.03768331,44235,Subscriber,1961,1
186,59:24.8,02:31.0,3187,Warren St,40.7211236,-74.03805095,3202,Newport PATH,40.7272235,-74.0337589,42147,Subscriber,1972,1
478,02:33.3,10:31.6,3678,Fairmount Ave,40.72572614,-74.07195926,3195,Sip Ave,40.7308971,-74.06391263,45278,Subscriber,1980,1
1007,03:02.9,19:50.3,3187,Warren St,40.7211236,-74.03805095,3187,Warren St,40.7211236,-74.03805095,42150,Subscriber,1990,1
618,04:26.4,14:44.8,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3195,Sip Ave,40.7308971,-74.06391263,42155,Customer,1998,1
670,04:47.6,15:57.9,3269,Brunswick & 6th,40.72601173,-74.05038893,3202,Newport PATH,40.7272235,-74.0337589,45352,Subscriber,1986,1
1241,05:13.7,25:55.3,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3202,Newport PATH,40.7272235,-74.0337589,16782,Subscriber,1990,2
512,06:06.1,14:38.2,3268,Lafayette Park,40.71346383,-74.06285852,3185,City Hall,40.7177325,-74.043845,42293,Subscriber,1991,1
985,06:31.4,22:56.9,3483,Montgomery St,40.71942,-74.05099,3202,Newport PATH,40.7272235,-74.0337589,46395,Customer,1969,0
615,10:35.8,20:51.2,3186,Grove St PATH,40.71958612,-74.04311746,3267,Morris Canal,40.71241882,-74.03852552,44703,Subscriber,1987,1
426,10:41.6,17:48.4,3214,Essex Light Rail,40.7127742,-74.0364857,3205,JC Medical Center,40.71653978,-74.04963791,48913,Subscriber,1991,2
700,15:17.5,26:57.7,3186,Grove St PATH,40.71958612,-74.04311746,3279,Dixon Mills,40.72163014,-74.04996783,28025,Subscriber,1980,1
355,15:34.0,21:29.4,3276,Marin Light Rail,40.71458404,-74.04281706,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,30360,Subscriber,1992,2
