tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,month,year
156,02:40.3,05:17.0,3186,Grove St PATH,40.71958612,-74.04311746,3270,Jersey & 6th St,40.72528911,-74.04557168,42293,Subscriber,1996,1,10,2020
143,02:53.5,05:17.0,3186,Grove St PATH,40.71958612,-74.04311746,3270,Jersey & 6th St,40.72528911,-74.04557168,44740,Subscriber,1998,1,10,2020
305,04:31.3,09:36.4,3273,Manila & 1st,40.72165072,-74.04288411,3269,Brunswick & 6th,40.72601173,-74.05038893,41369,Subscriber,1988,2,10,2020
1097,05:18.4,23:36.1,3199,Newport Pkwy,40.7287448,-74.0321082,3281,Leonard Gordon Park,40.74590997,-74.05727148,42285,Customer,2001,1,10,2020
277,09:17.6,13:55.5,3199,Newport Pkwy,40.7287448,-74.0321082,3638,Washington St,40.7242941,-74.0354826,45231,Subscriber,1965,1,10,2020
537,10:06.1,19:03.3,3195,Sip Ave,40.7308971,-74.06391263,3280,Astor Place,40.7192822,-74.07126188,27453,Subscriber,1997,2,10,2020
1233,20:07.3,40:40.7,3638,Washington St,40.7242941,-74.0354826,3225,Baldwin at Montgomery,40.7236589,-74.0641943,39591,Customer,1997,1,10,2020
471,20:16.3,28:08.1,3210,Pershing Field,40.74267714,-74.05178863,3198,Heights Elevator,40.74871595,-74.0404433,44322,Subscriber,1994,1,10,2020
451,20:24.2,27:55.6,3210,Pershing Field,40.74267714,-74.05178863,3198,Heights Elevator,40.74871595,-74.0404433,44042,Subscriber,1991,1,10,2020
2007,27:24.3,00:51.6,3205,JC Medical Center,40.71653978,-74.04963791,3205,JC Medical Center,40.71653978,-74.04963791,47255,Subscriber,1991,1,10,2020
432,27:26.2,34:39.0,3187,Warren St,40.7211236,-74.03805095,3267,Morris Canal,40.71241882,-74.03852552,38358,Subscriber,1986,1,10,2020
1969,27:56.0,00:45.8,3205,JC Medical Center,40.71653978,-74.04963791,3205,JC Medical Center,40.71653978,-74.04963791,44401,Subscriber,1990,2,10,2020
337,38:43.0,44:20.2,3206,Hilltop,40.7311689,-74.0575736,3212,Christ Hospital,40.73478582,-74.05044364,21500,Customer,1993,1,10,2020
1274,38:55.4,00:09.9,3280,Astor Place,40.7192822,-74.07126188,3193,Lincoln Park,40.7246051,-74.07840595,29072,Customer,1999,1,10,2020
273,44:29.0,49:02.8,3186,Grove St PATH,40.71958612,-74.04311746,3209,Brunswick St,40.7241765,-74.0506564,44721,Subscriber,1984,1,10,2020
301,48:35.5,53:37.2,3191,Union St,40.7182113,-74.0836394,3694,Jackson Square,40.71113,-74.0789,46541,Subscriber,1969,1,10,2020
449,12:24.1,19:54.0,3198,Heights Elevator,40.74871595,-74.0404433,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,42140,Customer,1995,1,10,2020
1553,13:27.5,39:21.2,3639,Harborside,40.7192517,-74.034234,3267,Morris Canal,40.71241882,-74.03852552,43206,Subscriber,1969,0,10,2020
