tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,month,year
789,38:59.3,52:08.7,3213,Van Vorst Park,40.71848892,-74.04772663,3185,City Hall,40.7177325,-74.043845,42384,Subscriber,1973,0,5,2020
143,39:13.0,41:36.6,3211,Newark Ave,40.72152515,-74.04630454,3209,Brunswick St,40.7241765,-74.0506564,42296,Subscriber,1975,2,5,2020
61,39:25.6,40:27.4,3277,Communipaw & Berry Lane,40.71435837,-74.06661093,3277,Communipaw & Berry Lane,40.71435837,-74.06661093,42278,Customer,1969,0,5,2020
483,39:48.0,47:51.8,3638,Washington St,40.7242941,-74.0354826,3269,Brunswick & 6th,40.72601173,-74.05038893,42232,Subscriber,1979,1,5,2020
4014,40:10.5,47:04.7,3276,Marin Light Rail,40.71458404,-74.04281706,3276,Marin Light Rail,40.71458404,-74.04281706,42216,Customer,1969,0,5,2020
4011,40:25.1,47:16.3,3276,Marin Light Rail,40.71458404,-74.04281706,3276,Marin Light Rail,40.71458404,-74.04281706,42282,Customer,1989,2,5,2020
3665,40:28.2,41:34.1,3677,Glenwood Ave,40.72755147,-74.07106072,3677,Glenwood Ave,40.72755147,-74.07106072,42442,Customer,1969,0,5,2020
3677,40:28.4,41:46.2,3677,Glenwood Ave,40.72755147,-74.07106072,3677,Glenwood Ave,40.72755147,-74.07106072,42582,Subscriber,1964,1,5,2020
2799,40:46.6,27:26.3,3214,Essex Light Rail,40.7127742,-74.0364857,3276,Marin Light Rail,40.71458404,-74.04281706,42148,Customer,1969,0,5,2020
2792,40:49.1,27:21.8,3214,Essex Light Rail,40.7127742,-74.0364857,3276,Marin Light Rail,40.71458404,-74.04281706,42245,Customer,1993,2,5,2020
472,42:22.9,50:15.0,3638,Washington St,40.7242941,-74.0354826,3186,Grove St PATH,40.71958612,-74.04311746,42459,Subscriber,1984,2,5,2020
5287,42:36.3,10:44.2,3277,Communipaw & Berry Lane,40.71435837,-74.06661093,3225,Baldwin at Montgomery,40.7236589,-74.0641943,42307,Customer,1992,1,5,2020
381,43:02.2,49:23.4,3205,JC Medical Center,40.71653978,-74.04963791,3267,Morris Canal,40.71241882,-74.03852552,42231,Subscriber,1975,1,5,2020
2211,43:43.9,20:35.6,3272,Jersey & 3rd,40.72333159,-74.04595256,3272,Jersey & 3rd,40.72333159,-74.04595256,42352,Subscriber,1961,1,5,2020
754,43:55.1,56:29.4,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3276,Marin Light Rail,40.71458404,-74.04281706,42226,Customer,1993,1,5,2020
721,44:29.0,56:30.4,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3276,Marin Light Rail,40.71458404,-74.04281706,41356,Customer,1992,2,5,2020
9811,44:39.1,28:10.5,3187,Warren St,40.7211236,-74.03805095,3638,Washington St,40.7242941,-74.0354826,42499,Subscriber,1992,1,5,2020
346,44:42.0,50:28.9,3267,Morris Canal,40.71241882,-74.03852552,3639,Harborside,40.7192517,-74.034234,42308,Customer,1990,1,5,2020
2472,44:42.1,25:55.1,3278,Monmouth and 6th,40.72568548,-74.04879034,3199,Newport Pkwy,40.7287448,-74.0321082,42369,Subscriber,1977,2,5,2020
9788,45:08.9,28:17.2,3187,Warren St,40.7211236,-74.03805095,3638,Washington St,40.7242941,-74.0354826,42306,Subscriber,1992,2,5,2020
6579,45:11.7,34:51.6,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42266,Customer,1969,0,5,2020
2263,45:13.2,22:56.2,3191,Union St,40.7182113,-74.0836394,3191,Union St,40.7182113,-74.0836394,42188,Customer,1996,1,5,2020
73552,45:22.9,11:15.8,3277,Communipaw & Berry Lane,40.71435837,-74.06661093,3268,Lafayette Park,40.71346383,-74.06285852,42133,Customer,1969,0,5,2020
15212,45:31.8,59:04.5,3277,Communipaw & Berry Lane,40.71435837,-74.06661093,3277,Communipaw & Berry Lane,40.71435837,-74.06661093,42301,Customer,1969,0,5,2020
6464,46:12.3,33:56.6,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,39059,Customer,1969,0,5,2020
3090,47:02.3,38:32.9,3269,Brunswick & 6th,40.72601173,-74.05038893,3187,Warren St,40.7211236,-74.03805095,42585,Subscriber,1970,1,5,2020
1772,47:07.4,16:40.0,3195,Sip Ave,40.7308971,-74.06391263,3186,Grove St PATH,40.71958612,-74.04311746,42412,Customer,1998,1,5,2020
4809,47:55.6,08:05.1,3214,Essex Light Rail,40.7127742,-74.0364857,3276,Marin Light Rail,40.71458404,-74.04281706,42602,Subscriber,1983,2,5,2020
3039,48:44.8,39:24.7,3205,JC Medical Center,40.71653978,-74.04963791,3205,JC Medical Center,40.71653978,-74.04963791,42268,Customer,1987,1,5,2020
3034,48:55.8,39:30.6,3205,JC Medical Center,40.71653978,-74.04963791,3205,JC Medical Center,40.71653978,-74.04963791,42344,Customer,1987,2,5,2020
4731,49:05.7,07:56.8,3214,Essex Light Rail,40.7127742,-74.0364857,3276,Marin Light Rail,40.71458404,-74.04281706,42564,Subscriber,1988,1,5,2020
2726,49:46.2,35:12.6,3681,Grand St,40.71517768,-74.03768331,3681,Grand St,40.71517768,-74.03768331,42599,Customer,1993,2,5,2020
1907,50:41.4,22:29.1,3681,Grand St,40.71517768,-74.03768331,3184,Paulus Hook,40.7141454,-74.0335519,38358,Customer,1995,2,5,2020
1880,51:12.1,22:32.6,3276,Marin Light Rail,40.71458404,-74.04281706,3276,Marin Light Rail,40.71458404,-74.04281706,42548,Subscriber,1989,2,5,2020
4582,51:39.1,08:01.3,3209,Brunswick St,40.7241765,-74.0506564,3206,Hilltop,40.7311689,-74.0575736,42296,Customer,1969,0,5,2020
1842,51:50.2,22:33.0,3681,Grand St,40.71517768,-74.03768331,3184,Paulus Hook,40.7141454,-74.0335519,42346,Customer,1994,2,5,2020
504,52:45.4,01:09.6,3267,Morris Canal,40.71241882,-74.03852552,3185,City Hall,40.7177325,-74.043845,42361,Subscriber,1973,1,5,2020
2458,53:21.4,34:19.9,3185,City Hall,40.7177325,-74.043845,3199,Newport Pkwy,40.7287448,-74.0321082,42384,Subscriber,1990,2,5,2020
2667,54:28.3,38:55.4,3276,Marin Light Rail,40.71458404,-74.04281706,3270,Jersey & 6th St,40.72528911,-74.04557168,42367,Customer,1991,2,5,2020
2636,54:35.0,38:31.8,3276,Marin Light Rail,40.71458404,-74.04281706,3270,Jersey & 6th St,40.72528911,-74.04557168,42254,Subscriber,1991,1,5,2020
1110,54:49.6,13:19.8,3205,JC Medical Center,40.71653978,-74.04963791,3186,Grove St PATH,40.71958612,-74.04311746,42480,Subscriber,1974,1,5,2020
4332,54:56.6,07:08.9,3677,Glenwood Ave,40.72755147,-74.07106072,3191,Union St,40.7182113,-74.0836394,42365,Subscriber,1980,1,5,2020
7546,55:08.5,00:55.5,3276,Marin Light Rail,40.71458404,-74.04281706,3276,Marin Light Rail,40.71458404,-74.04281706,42445,Customer,1969,0,5,2020
7501,56:20.5,01:22.2,3276,Marin Light Rail,40.71458404,-74.04281706,3276,Marin Light Rail,40.71458404,-74.04281706,42469,Customer,1969,0,5,2020
3996,56:34.0,03:10.6,3205,JC Medical Center,40.71653978,-74.04963791,3213,Van Vorst Park,40.71848892,-74.04772663,42196,Subscriber,1983,1,5,2020
3980,56:49.6,03:10.4,3205,JC Medical Center,40.71653978,-74.04963791,3213,Van Vorst Park,40.71848892,-74.04772663,42283,Subscriber,1986,2,5,2020
6610,57:33.8,47:44.8,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3203,Hamilton Park,40.72759597,-74.04424731,42401,Customer,1990,2,5,2020
1792,58:31.1,28:23.2,3184,Paulus Hook,40.7141454,-74.0335519,3194,McGinley Square,40.72533993,-74.06762213,42400,Subscriber,1977,1,5,2020
1624,59:03.6,26:08.3,3193,Lincoln Park,40.7246051,-74.07840595,3191,Union St,40.7182113,-74.0836394,42127,Customer,1997,2,5,2020
62169,59:18.4,15:28.0,3193,Lincoln Park,40.7246051,-74.07840595,3483,Montgomery St,40.71942,-74.05099,42280,Customer,1969,0,5,2020
2276,59:43.2,37:39.2,3199,Newport Pkwy,40.7287448,-74.0321082,3192,Liberty Light Rail,40.7112423,-74.0557013,42151,Customer,1969,0,5,2020
2278,59:49.7,37:48.2,3199,Newport Pkwy,40.7287448,-74.0321082,3192,Liberty Light Rail,40.7112423,-74.0557013,42503,Customer,1969,0,5,2020
2728,59:51.4,45:20.2,3184,Paulus Hook,40.7141454,-74.0335519,3199,Newport Pkwy,40.7287448,-74.0321082,42507,Subscriber,1959,1,5,2020
5406,00:04.8,30:11.4,3203,Hamilton Park,40.72759597,-74.04424731,3276,Marin Light Rail,40.71458404,-74.04281706,42414,Customer,1969,0,5,2020
5367,00:27.6,29:54.7,3203,Hamilton Park,40.72759597,-74.04424731,3276,Marin Light Rail,40.71458404,-74.04281706,42375,Customer,1969,0,5,2020
1680,00:50.9,28:51.2,3185,City Hall,40.7177325,-74.043845,3267,Morris Canal,40.71241882,-74.03852552,42110,Customer,1987,1,5,2020
1692,00:51.6,29:04.5,3185,City Hall,40.7177325,-74.043845,3267,Morris Canal,40.71241882,-74.03852552,42249,Customer,1993,2,5,2020
