tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,month,year
389,14:07.0,20:36.1,3202,Newport PATH,40.7272235,-74.0337589,3203,Hamilton Park,40.72759597,-74.04424731,42381,Subscriber,1992,1,3,2020
242,48:06.4,52:09.0,3185,City Hall,40.7177325,-74.043845,3205,JC Medical Center,40.71653978,-74.04963791,42155,Subscriber,1991,1,3,2020
124,08:46.5,10:51.3,3272,Jersey & 3rd,40.72333159,-74.04595256,3278,Monmouth and 6th,40.72568548,-74.04879034,42376,Subscriber,1987,0,3,2020
104,22:35.5,24:20.2,3202,Newport PATH,40.7272235,-74.0337589,3638,Washington St,40.7242941,-74.0354826,42350,Subscriber,1993,1,3,2020
228,39:20.3,43:09.1,3194,McGinley Square,40.72533993,-74.06762213,3280,Astor Place,40.7192822,-74.07126188,42235,Subscriber,1988,1,3,2020
526,50:56.7,59:43.7,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3694,Jackson Square,40.71113,-74.0789,42263,Subscriber,1969,1,3,2020
237,14:38.9,18:35.9,3214,Essex Light Rail,40.7127742,-74.0364857,3185,City Hall,40.7177325,-74.043845,42122,Subscriber,1988,1,3,2020
365,35:11.6,41:16.9,3273,Manila & 1st,40.72165072,-74.04288411,3269,Brunswick & 6th,40.72601173,-74.05038893,42490,Subscriber,1973,2,3,2020
300,46:40.4,51:40.8,3273,Manila & 1st,40.72165072,-74.04288411,3269,Brunswick & 6th,40.72601173,-74.05038893,42312,Subscriber,1981,1,3,2020
176,56:13.7,59:09.9,3275,Columbus Drive,40.7183552,-74.03891444,3273,Manila & 1st,40.72165072,-74.04288411,42524,Subscriber,1990,1,3,2020
304,06:06.8,11:11.6,3202,Newport PATH,40.7272235,-74.0337589,3639,Harborside,40.7192517,-74.034234,42406,Subscriber,1981,1,3,2020
243,06:21.4,10:25.1,3202,Newport PATH,40.7272235,-74.0337589,3639,Harborside,40.7192517,-74.034234,42555,Customer,1992,1,3,2020
439,21:45.5,29:04.6,3272,Jersey & 3rd,40.72333159,-74.04595256,3205,JC Medical Center,40.71653978,-74.04963791,42113,Customer,1995,1,3,2020
372,22:25.7,28:37.8,3272,Jersey & 3rd,40.72333159,-74.04595256,3205,JC Medical Center,40.71653978,-74.04963791,42126,Customer,1996,1,3,2020
708,38:15.0,50:03.9,3678,Fairmount Ave,40.72572614,-74.07195926,3276,Marin Light Rail,40.71458404,-74.04281706,42455,Customer,1969,0,3,2020
182,28:41.6,31:44.3,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,42274,Subscriber,1980,1,3,2020
261,28:55.4,33:16.9,3267,Morris Canal,40.71241882,-74.03852552,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42603,Subscriber,1960,1,3,2020
164,39:00.4,41:44.8,3276,Marin Light Rail,40.71458404,-74.04281706,3186,Grove St PATH,40.71958612,-74.04311746,42323,Subscriber,1967,1,3,2020
193,44:15.4,47:28.6,3209,Brunswick St,40.7241765,-74.0506564,3211,Newark Ave,40.72152515,-74.04630454,42258,Subscriber,1981,1,3,2020
561,48:35.9,57:57.3,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3211,Newark Ave,40.72152515,-74.04630454,42606,Subscriber,1987,1,3,2020
1192,54:02.7,13:55.5,3211,Newark Ave,40.72152515,-74.04630454,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42255,Subscriber,1968,1,3,2020
202,06:50.3,10:13.0,3203,Hamilton Park,40.72759597,-74.04424731,3211,Newark Ave,40.72152515,-74.04630454,42280,Subscriber,1992,2,3,2020
588,07:56.5,17:44.8,3203,Hamilton Park,40.72759597,-74.04424731,3639,Harborside,40.7192517,-74.034234,42381,Subscriber,1970,2,3,2020
172,17:11.1,20:03.2,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,42545,Subscriber,1990,1,3,2020
300,20:48.0,25:48.2,3209,Brunswick St,40.7241765,-74.0506564,3187,Warren St,40.7211236,-74.03805095,42541,Subscriber,1982,1,3,2020
213,21:50.0,25:23.1,3211,Newark Ave,40.72152515,-74.04630454,3203,Hamilton Park,40.72759597,-74.04424731,42606,Subscriber,1992,2,3,2020
257,26:30.0,30:47.6,3203,Hamilton Park,40.72759597,-74.04424731,3273,Manila & 1st,40.72165072,-74.04288411,42580,Subscriber,1988,1,3,2020
278,40:57.3,45:35.5,3269,Brunswick & 6th,40.72601173,-74.05038893,3273,Manila & 1st,40.72165072,-74.04288411,42490,Subscriber,1988,2,3,2020
242,48:11.0,52:13.3,3203,Hamilton Park,40.72759597,-74.04424731,3273,Manila & 1st,40.72165072,-74.04288411,42595,Subscriber,1983,1,3,2020
319,48:13.0,53:32.2,3280,Astor Place,40.7192822,-74.07126188,3195,Sip Ave,40.7308971,-74.06391263,42235,Subscriber,1988,1,3,2020
160,49:54.2,52:34.6,3205,JC Medical Center,40.71653978,-74.04963791,3186,Grove St PATH,40.71958612,-74.04311746,42368,Subscriber,1969,0,3,2020
192,51:16.5,54:29.5,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,42298,Subscriber,1984,1,3,2020
290,57:19.4,02:10.1,3639,Harborside,40.7192517,-74.034234,3276,Marin Light Rail,40.71458404,-74.04281706,42550,Subscriber,1963,1,3,2020
208,59:29.4,02:57.8,3195,Sip Ave,40.7308971,-74.06391263,3677,Glenwood Ave,40.72755147,-74.07106072,42235,Subscriber,1980,0,3,2020
523,59:43.3,08:27.1,3638,Washington St,40.7242941,-74.0354826,3483,Montgomery St,40.71942,-74.05099,42247,Subscriber,1992,1,3,2020
574,01:32.2,11:06.6,3196,Riverview Park,40.7443187,-74.0439909,3269,Brunswick & 6th,40.72601173,-74.05038893,42232,Subscriber,1968,1,3,2020
315,07:11.8,12:26.8,3269,Brunswick & 6th,40.72601173,-74.05038893,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,42312,Subscriber,1983,1,3,2020
184,10:53.1,13:58.1,3278,Monmouth and 6th,40.72568548,-74.04879034,3211,Newark Ave,40.72152515,-74.04630454,42227,Subscriber,1976,2,3,2020
262,16:01.1,20:23.8,3638,Washington St,40.7242941,-74.0354826,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42350,Subscriber,1991,1,3,2020
1416,17:54.4,41:30.8,3677,Glenwood Ave,40.72755147,-74.07106072,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42143,Subscriber,1989,1,3,2020
144,18:15.0,20:39.7,3213,Van Vorst Park,40.71848892,-74.04772663,3186,Grove St PATH,40.71958612,-74.04311746,42270,Subscriber,1977,1,3,2020
269,18:15.2,22:44.6,3269,Brunswick & 6th,40.72601173,-74.05038893,3273,Manila & 1st,40.72165072,-74.04288411,42520,Subscriber,1989,2,3,2020
1400,18:17.6,41:38.4,3677,Glenwood Ave,40.72755147,-74.07106072,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42429,Customer,1969,0,3,2020
649,20:24.0,31:13.3,3681,Grand St,40.71517768,-74.03768331,3203,Hamilton Park,40.72759597,-74.04424731,42192,Subscriber,1993,1,3,2020
567,20:28.9,29:56.2,3678,Fairmount Ave,40.72572614,-74.07195926,3220,5 Corners Library,40.73496102,-74.05950308,42582,Subscriber,1970,1,3,2020
