tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,month,year
756,11:32.6,24:09.6,3275,Columbus Drive,40.7183552,-74.03891444,3225,Baldwin at Montgomery,40.7236589,-74.0641943,42436,Subscriber,1984,1,11,2020
584,14:20.5,24:04.8,3681,Grand St,40.71517768,-74.03768331,3209,Brunswick St,40.7241765,-74.0506564,46532,Customer,1969,0,11,2020
403,22:55.9,29:39.1,3203,Hamilton Park,40.72759597,-74.04424731,3483,Montgomery St,40.71942,-74.05099,35139,Subscriber,1980,1,11,2020
498,41:37.4,49:55.7,3268,Lafayette Park,40.71346383,-74.06285852,3213,Van Vorst Park,40.71848892,-74.04772663,46539,Customer,1969,0,11,2020
151,53:21.2,55:52.8,3185,City Hall,40.7177325,-74.043845,3276,Marin Light Rail,40.71458404,-74.04281706,44388,Subscriber,1986,1,11,2020
6606,04:13.5,54:20.0,3679,Bergen Ave,40.72210379,-74.071455,3679,Bergen Ave,40.72210379,-74.071455,26139,Customer,1990,1,11,2020
573,08:02.0,17:35.8,3185,City Hall,40.7177325,-74.043845,3192,Liberty Light Rail,40.7112423,-74.0557013,42277,Subscriber,1996,1,11,2020
511,08:57.7,17:29.4,3185,City Hall,40.7177325,-74.043845,3192,Liberty Light Rail,40.7112423,-74.0557013,42194,Subscriber,1992,2,11,2020
106,09:23.0,11:09.5,3202,Newport PATH,40.7272235,-74.0337589,3638,Washington St,40.7242941,-74.0354826,21500,Subscriber,1996,1,11,2020
645,11:27.9,22:13.4,3206,Hilltop,40.7311689,-74.0575736,3187,Warren St,40.7211236,-74.03805095,42590,Customer,1969,0,11,2020
533,17:46.1,26:39.5,3194,McGinley Square,40.72533993,-74.06762213,3694,Jackson Square,40.71113,-74.0789,42465,Subscriber,1969,1,11,2020
345,19:28.2,25:14.0,3202,Newport PATH,40.7272235,-74.0337589,3199,Newport Pkwy,40.7287448,-74.0321082,45919,Subscriber,1987,1,11,2020
361,32:16.9,38:18.1,3273,Manila & 1st,40.72165072,-74.04288411,3269,Brunswick & 6th,40.72601173,-74.05038893,47253,Subscriber,1973,2,11,2020
272,02:14.6,06:47.2,3273,Manila & 1st,40.72165072,-74.04288411,3203,Hamilton Park,40.72759597,-74.04424731,42308,Subscriber,1988,1,11,2020
1032,14:05.7,31:18.5,3213,Van Vorst Park,40.71848892,-74.04772663,3277,Communipaw & Berry Lane,40.71435837,-74.06661093,42157,Customer,1969,0,11,2020
939,25:02.7,40:42.3,3638,Washington St,40.7242941,-74.0354826,3638,Washington St,40.7242941,-74.0354826,42396,Customer,1993,1,11,2020
1205,03:53.4,23:58.8,3694,Jackson Square,40.71113,-74.0789,3694,Jackson Square,40.71113,-74.0789,42314,Customer,1990,1,11,2020
128,16:41.9,18:50.8,3199,Newport Pkwy,40.7287448,-74.0321082,3202,Newport PATH,40.7272235,-74.0337589,44913,Subscriber,1994,1,11,2020
489,35:51.1,44:00.1,3185,City Hall,40.7177325,-74.043845,3268,Lafayette Park,40.71346383,-74.06285852,42370,Subscriber,1991,1,11,2020
631,02:28.7,13:00.5,3681,Grand St,40.71517768,-74.03768331,3277,Communipaw & Berry Lane,40.71435837,-74.06661093,42250,Customer,2000,1,11,2020
1275,39:31.3,00:46.8,3694,Jackson Square,40.71113,-74.0789,3205,JC Medical Center,40.71653978,-74.04963791,42314,Customer,1990,1,11,2020
